area,things,location,size,ciy_part,non_city_part,non_city_sub,date,items,tranf,height,tpye,usage,material,compele_year,tranf_area,house,hall,toilet,part_house,org,total_price,price_per_m,car_tpye,car_area,car_price
永康區,房地(土地+建物),臺南市永康區中山南路544巷67弄1~30號,106.02,住,,,10303,土地1建物1車位0,全,002,透天厝,住家用,鋼筋混凝土造,0790509,164.85,3,2,3,有,無,5200000,31544,,0.0,0
永康區,房地(土地+建物),臺南市永康區自強路330巷9弄1~30號,73.24,住,,,10303,土地1建物1車位0,全,002,透天厝,住家用,加強磚造,0690612,89.5,5,2,2,有,無,5300000,59218,,0.0,0
永康區,房地(土地+建物)+車位,臺南市永康區永大路二段1111~1140號,9.06,住,,,10303,土地1建物2車位1,十七層,019,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830711,141.46,3,2,2,有,有,4500000,31811,坡道平面,9.27,0
永康區,房地(土地+建物),臺南市永康區永康區崑山里48鄰永華路32巷1~30號,89.0,住,,,10302,土地1建物1車位0,全,002,透天厝,住家用,加強磚造,0771110,103.35,3,2,2,有,無,6200000,59990,,0.0,0
永康區,房地(土地+建物),臺南市永康區成功里小東路661~690號,16.93,住,,,10303,土地1建物2車位0,十六層,022,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0810519,198.92,2,0,0,有,有,4500000,22622,,0.0,0
永康區,房地(土地+建物),臺南市永康區國華街102巷91~120號,19.13,住,,,10303,土地2建物1車位0,七層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831006,109.44,3,2,2,有,有,3180000,29057,,0.0,0
永康區,房地(土地+建物),臺南市永康區埔園里永大路三段450巷1~30號,66.0,住,,,10303,土地1建物1車位0,全,004,透天厝,住家用,鋼筋混凝土造,0880908,169.98,5,2,3,有,無,7800000,45888,,0.0,0
永康區,土地,大灣段5431~5460地號,1700.0,農,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18500000,10882,,0.0,0
中西區,土地,三民段331~360地號,25.78,商,,,10303,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17544,681,,0.0,0
北區,車位,臺南市北區北成路1~30號,1.86,住,,,10303,土地0建物0車位1,,,其他,,,,23.71,0,0,0,有,有,350000,,坡道機械,0.0,350000
